eventLabel,isIntentional,travelers,deviceLabel,departureYear,arrivalYear,description
OldClaudiaTravel01_2053_1987,true,OldClaudia,PortableTimeMachine,2053,1987,Old Claudia intentionally travels from 2053 to 1987 to meet her younger manifestation and provide her with the coordinates of the buried portable time machine.
ElisabethAndCharlotteTravel01_2053_2041,true,"AdultElisabeth, Charlotte",GodParticle,2053,2041,An intentional time travel event in which adult Elisabeth and Charlotte travel from 2053 to 2041 to take the infant Charlotte from Noah and Elisabeth.
YoungHelgeTravel01_1953_1986,false,YoungHelge,BunkerPortal,1953,1986,"After being attacked by Ulrich and left in the Doppler bunker, young Helge touches Jonas through the temporal portal and is unintentionally transported from 1953 to 1986."
JonasTravel04_1986_2052,false,Jonas_2019,BunkerPortal,1986,2052,"While being held in the Doppler bunker in 1986, Jonas touches Helge through the temporal portal and is unexpectedly transported to the post-apocalyptic year 2052."
YoungHelgeTravel02_1986_1954,false,YoungHelge,TimeTravelChair,1986,1954,"Young Helge is sent from 1986 to 1954 through the experimental time machine in the Doppler bunker, returning to the year following his disappearance."
JonasTravel01_2019_1986,false,Jonas_2019,CavePassage_AdamWorld,2019,1986,"Jonas enters the cave passage for the first time and unknowingly travels from 2019 to 1986, where he discovers that the missing Mikkel is living in the past."
MikkelTravel_2019_1986,false,Mikkel_2019,CavePassage_AdamWorld,2019,1986,An unintentional time travel event in which Mikkel is transported from 2019 to 1986.
UlrichTravel01_2019_1953,false,Ulrich,CavePassage_AdamWorld,2019,1953,An unintentional time travel event in which Ulrich enters the cave passage while searching for Mikkel and is unknowingly transported from 2019 to 1953.
CharlotteTravel01_2020_2053,false,Charlotte,GodParticle,2020,2053,"During the 2020 apocalypse, Charlotte touches adult Elisabeth through the temporal portal in the nuclear power plant and is unintentionally transported from 2020 to 2053."
JonasTravel08_2020_2019,false,"Jonas_2019, Martha_2019_EvaWorld",GoldenSphere,2020,2019,"Jonas travels from 2020 to November 2019 as part of Claudia's plan, returning to the night of Mikkel's disappearance in order to ensure that the established sequence of events takes place."
